config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
legacy_online,1,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_1.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_1.txt,117,5264.3,17440,117,228,222,246,240,222,228,240,246,5,19
legacy_online,2,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_2.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_2.txt,112,0.246722,17440,112,216,234,214,232,214,216,232,234,5,19
legacy_online,3,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_3.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_3.txt,112,0.234556,17440,112,218,218,230,230,218,218,230,230,6,18
legacy_online,4,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_4.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_4.txt,136,1835.36,17440,136,250,268,276,294,250,268,276,294,5,19
legacy_online,5,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_5.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_5.txt,112,0.241001,17440,112,212,228,220,236,212,220,228,236,6,20
legacy_online,6,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_6.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_6.txt,112,0.221335,17440,112,214,242,206,234,206,214,234,242,6,18
legacy_online,7,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_7.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_7.txt,112,0.188536,17440,112,232,224,224,216,216,224,224,232,5,19
legacy_online,8,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_8.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_8.txt,136,7480.12,17440,136,254,276,268,290,254,268,276,290,4,20
legacy_online,9,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_9.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_9.txt,112,0.219163,17440,112,216,220,228,232,216,220,228,232,6,18
legacy_online,10,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_10.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_10.txt,117,6800.33,17440,117,237,204,264,231,204,231,237,264,6,19
legacy_online,11,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_11.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_11.txt,112,0.226383,17440,112,226,226,222,222,222,222,226,226,4,20
legacy_online,12,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_12.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_12.txt,112,0.279988,17440,112,224,210,238,224,210,224,224,238,5,20
legacy_online,13,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_13.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_13.txt,112,0.227426,17440,112,226,210,238,222,210,222,226,238,6,18
legacy_online,14,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_14.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_14.txt,136,2227.9,17440,136,246,272,272,298,246,272,272,298,5,20
legacy_online,15,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_15.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_15.txt,112,0.214569,17440,112,216,218,230,232,216,218,230,232,6,18
legacy_online,16,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_16.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_16.txt,112,0.28193,17440,112,212,228,220,236,212,220,228,236,5,19
legacy_online,17,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_17.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_17.txt,112,0.235262,17440,112,216,222,226,232,216,222,226,232,6,19
legacy_online,18,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_18.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8_online/output_log_18.txt,112,0.280335,17440,112,226,218,230,222,218,222,226,230,4,18
