config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
legacy_redumis,1,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_1.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_1.txt,136,50032.1,17440,136,198,242,302,346,198,242,302,346,7,20
legacy_redumis,2,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_2.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_2.txt,136,50015.1,17440,136,208,244,300,336,208,244,300,336,7,19
legacy_redumis,3,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_3.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_3.txt,136,50009.0,17440,136,192,264,280,352,192,264,280,352,8,20
legacy_redumis,4,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_4.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_4.txt,136,49574.9,17440,136,206,250,294,338,206,250,294,338,8,20
legacy_redumis,5,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_5.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_5.txt,136,50002.1,17440,136,218,234,310,326,218,234,310,326,7,19
legacy_redumis,6,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_6.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_6.txt,136,50007.7,17440,136,204,248,296,340,204,248,296,340,7,20
legacy_redumis,7,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_7.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_7.txt,136,50042.9,17440,136,212,252,292,332,212,252,292,332,8,18
legacy_redumis,8,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_8.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_8.txt,136,50026.5,17440,136,202,242,302,342,202,242,302,342,7,19
legacy_redumis,9,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_9.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_9.txt,136,50001.6,17440,136,206,234,310,338,206,234,310,338,8,19
legacy_redumis,10,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_10.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_10.txt,136,50013.9,17440,136,198,266,278,346,198,266,278,346,7,20
legacy_redumis,11,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_11.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_11.txt,136,46421.5,17440,136,196,252,292,348,196,252,292,348,9,19
legacy_redumis,12,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_12.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_12.txt,136,50048.2,17440,136,206,242,302,338,206,242,302,338,8,20
legacy_redumis,13,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_13.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_13.txt,136,50001.1,17440,136,198,262,282,346,198,262,282,346,8,20
legacy_redumis,14,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_14.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_14.txt,136,50000.7,17440,136,220,252,292,324,220,252,292,324,6,20
legacy_redumis,15,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_15.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_15.txt,136,45210.0,17440,136,198,250,294,346,198,250,294,346,8,19
legacy_redumis,16,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_16.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_16.txt,136,50009.6,17440,136,196,248,296,348,196,248,296,348,8,19
legacy_redumis,17,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_17.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_17.txt,136,48383.4,17440,136,194,246,298,350,194,246,298,350,8,20
legacy_redumis,18,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_18.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_18.txt,136,49327.1,17440,136,200,244,300,344,200,244,300,344,7,19
legacy_redumis,19,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_19.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_19.txt,136,50000.4,17440,136,198,250,294,346,198,250,294,346,8,19
legacy_redumis,20,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_20.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_20.txt,136,50003.4,17440,136,196,244,300,348,196,244,300,348,8,19
legacy_redumis,21,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_21.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_21.txt,136,50000.5,17440,136,198,258,286,346,198,258,286,346,8,18
legacy_redumis,22,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_22.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_22.txt,136,49269.8,17440,136,192,256,288,352,192,256,288,352,8,20
legacy_redumis,23,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_23.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_23.txt,136,42493.2,17440,136,220,236,308,324,220,236,308,324,7,19
legacy_redumis,24,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_24.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_24.txt,136,50009.9,17440,136,206,234,310,338,206,234,310,338,8,19
legacy_redumis,25,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_25.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_25.txt,136,48961.6,17440,136,200,244,300,344,200,244,300,344,8,19
legacy_redumis,26,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_26.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_26.txt,136,50002.9,17440,136,206,242,302,338,206,242,302,338,7,19
legacy_redumis,27,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_27.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_27.txt,136,50001.1,17440,136,208,236,308,336,208,236,308,336,7,20
legacy_redumis,28,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_28.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_28.txt,136,44207.3,17440,136,194,254,290,350,194,254,290,350,9,19
