config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
full_social,102,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed102.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed102.log,136,19320.7,17440,136,194,250,294,350,194,250,294,350,8,20
full_social,103,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed103.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed103.log,136,23040.3,17440,136,212,256,288,332,212,256,288,332,7,19
full_social,104,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed104.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed104.log,136,5108.74,17440,136,204,250,294,340,204,250,294,340,8,19
full_social,105,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed105.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed105.log,136,3284.68,17440,136,214,252,292,330,214,252,292,330,6,20
full_social,106,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed106.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed106.log,136,19615.0,17440,136,190,254,290,354,190,254,290,354,8,19
full_social,107,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed107.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed107.log,136,10655.1,17440,136,202,258,286,342,202,258,286,342,8,19
full_social,110,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_social_seed110.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_social_seed110.log,136,12608.0,17440,136,210,254,290,334,210,254,290,334,8,19
full_standard,100,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_standard_seed100.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_standard_seed100.log,136,27351.2,17440,136,206,254,290,338,206,254,290,338,7,20
full_standard,101,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_standard_seed101.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_standard_seed101.log,136,9156.45,17440,136,210,250,294,334,210,250,294,334,7,19
full_standard,102,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_standard_seed102.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_standard_seed102.log,136,22825.8,17440,136,208,252,292,336,208,252,292,336,8,20
full_standard,103,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_standard_seed103.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_standard_seed103.log,136,17026.5,17440,136,198,250,294,346,198,250,294,346,8,19
full_standard,104,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/results/full_standard_seed104.txt,/home/vandriel/Documents/GitHub/KaMIS/codex/runs/20260225_214900_seed100_cfgstdsocial_t50000_target136_j12_main/logs/full_standard_seed104.log,136,15960.2,17440,136,206,250,294,338,206,250,294,338,8,20
