config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
full_standard,112,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed112.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed112.log,136,22305.4,17440,136,200,256,288,344,200,256,288,344,8,19
full_standard,113,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed113.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed113.log,136,8607.9,17440,136,194,254,290,350,194,254,290,350,9,19
full_standard,114,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed114.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed114.log,136,20531.1,17440,136,206,250,294,338,206,250,294,338,7,19
full_standard,115,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed115.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed115.log,136,5349.48,17440,136,202,262,282,342,202,262,282,342,9,19
full_standard,116,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed116.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed116.log,136,15832.8,17440,136,204,252,292,340,204,252,292,340,7,20
full_standard,117,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed117.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed117.log,136,9218.23,17440,136,202,240,304,342,202,240,304,342,6,20
full_standard,118,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed118.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed118.log,136,24921.8,17440,136,210,246,298,334,210,246,298,334,7,20
full_standard,119,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed119.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed119.log,136,5203.91,17440,136,192,256,288,352,192,256,288,352,7,19
full_standard,120,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed120.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed120.log,136,19766.8,17440,136,196,256,288,348,196,256,288,348,9,19
full_standard,121,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed121.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed121.log,136,17129.3,17440,136,200,248,296,344,200,248,296,344,8,19
full_standard,122,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed122.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed122.log,136,12072.6,17440,136,200,240,304,344,200,240,304,344,7,19
full_standard,123,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed123.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed123.log,136,13580.5,17440,136,198,246,298,346,198,246,298,346,8,19
full_standard,124,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed124.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed124.log,136,10489.3,17440,136,200,248,296,344,200,248,296,344,7,19
full_standard,125,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed125.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed125.log,136,24052.9,17440,136,214,250,294,330,214,250,294,330,7,19
full_standard,126,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed126.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed126.log,136,12136.6,17440,136,202,246,298,342,202,246,298,342,7,20
full_standard,127,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed127.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed127.log,136,19696.0,17440,136,210,248,296,334,210,248,296,334,8,18
full_standard,128,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed128.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed128.log,136,8269.63,17440,136,214,242,302,330,214,242,302,330,9,20
full_standard,129,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed129.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed129.log,136,11035.5,17440,136,202,234,310,342,202,234,310,342,7,19
full_standard,130,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed130.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed130.log,136,11165.2,17440,136,206,250,294,338,206,250,294,338,7,19
full_standard,131,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed131.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed131.log,136,19815.0,17440,136,196,260,284,348,196,260,284,348,8,19
full_standard,132,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed132.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed132.log,136,14348.5,17440,136,220,240,304,324,220,240,304,324,8,20
full_standard,133,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed133.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed133.log,136,18443.0,17440,136,210,242,302,334,210,242,302,334,8,20
full_standard,134,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed134.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed134.log,136,5125.03,17440,136,214,234,310,330,214,234,310,330,7,19
full_standard,135,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed135.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed135.log,136,13781.1,17440,136,196,248,296,348,196,248,296,348,9,19
full_standard,136,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed136.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed136.log,136,13990.4,17440,136,198,254,290,346,198,254,290,346,8,20
full_standard,137,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed137.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed137.log,136,13211.6,17440,136,208,232,312,336,208,232,312,336,7,19
full_standard,138,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed138.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed138.log,136,11703.6,17440,136,218,254,290,326,218,254,290,326,8,19
full_standard,139,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed139.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed139.log,136,10172.1,17440,136,222,250,294,322,222,250,294,322,9,19
full_standard,140,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed140.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed140.log,136,9298.47,17440,136,202,254,290,342,202,254,290,342,7,19
